v1	v2
"confidentiality"	"EconomicOperands"
"conflict"	"EconomicOperands"
"conflict mineral"	"EconomicOperands"
"conflict minerals"	"EconomicOperands"
"conflict of interest"	"EconomicOperands"
"conflicting supervisory"	"EconomicOperands"
"conflicts"	"EconomicOperands"
"conflicts of interest"	"EconomicOperands"
"congress"	"EconomicOperands"
"consolidated"	"EconomicOperands"
"consolidated supervision"	"EconomicOperands"
"consolidation"	"EconomicOperands"
"constraints"	"EconomicOperands"
"consult"	"EconomicOperands"
"consultation"	"EconomicOperands"
"consumer"	"EconomicOperands"
"consumer financial product or service"	"EconomicOperands"
"consumer financial protection functions"	"EconomicOperands"
"consumer protection"	"EconomicOperands"
"consumer protection regulation"	"EconomicOperands"
"consumer protection regulations"	"EconomicOperands"
"consumer protections"	"EconomicOperands"
"consumer reporting agency that compiles and maintains files on consumers on a nationwide basis"	"EconomicOperands"
"consumers"	"EconomicOperands"
"consummation"	"EconomicOperands"
"contingent capital"	"EconomicOperands"
"continue"	"EconomicOperands"
"continues"	"EconomicOperands"
"contract"	"EconomicOperands"
"contracts"	"EconomicOperands"
"control"	"EconomicOperands"
"controlled"	"EconomicOperands"
"controlled company"	"EconomicOperands"
"controlling"	"EconomicOperands"
"controls"	"EconomicOperands"
"controversy"	"EconomicOperands"
"convenience"	"EconomicOperands"
"convertible"	"EconomicOperands"
"cooperation"	"EconomicOperands"
"coordinate"	"EconomicOperands"
"coordination"	"EconomicOperands"
"core deposits"	"EconomicOperands"
"core principles"	"EconomicOperands"
"corporate"	"EconomicOperands"
"corporate governance"	"EconomicOperands"
"corporate structure"	"EconomicOperands"
"corporation"	"EconomicOperands"
"corporations"	"EconomicOperands"
"cost"	"EconomicOperands"
"costs"	"EconomicOperands"
"costs of"	"EconomicOperands"
"council"	"EconomicOperands"
"councils"	"EconomicOperands"
"country"	"EconomicOperands"
"countrys"	"EconomicOperands"
"court"	"EconomicOperands"
"courts"	"EconomicOperands"
"coverage"	"EconomicOperands"
"covered agreement"	"EconomicOperands"
"covered agreements"	"EconomicOperands"
"covered assistance"	"EconomicOperands"
"covered broker or dealer"	"EconomicOperands"
"covered employee"	"EconomicOperands"
"covered employees"	"EconomicOperands"
"covered entity"	"EconomicOperands"
"covered financial company"	"EconomicOperands"
"covered financial institution"	"EconomicOperands"
"covered financial institutions"	"EconomicOperands"
"covered judicial or administrative action"	"EconomicOperands"
"covered person"	"EconomicOperands"
"covered persons"	"EconomicOperands"
"covered subsidiary"	"EconomicOperands"
"covered transaction"	"EconomicOperands"
"covered transactions"	"EconomicOperands"
"creation"	"EconomicOperands"
"creation of moral hazard"	"EconomicOperands"
"credit"	"EconomicOperands"
"credit card"	"EconomicOperands"
"credit card bank"	"EconomicOperands"
"credit card banks"	"EconomicOperands"
"credit cards"	"EconomicOperands"
"credit default swap"	"EconomicOperands"
"credit default swaps"	"EconomicOperands"
"credit enhancements"	"EconomicOperands"
"credit exposure"	"EconomicOperands"
"credit exposures"	"EconomicOperands"
"credit facility"	"EconomicOperands"
"credit line"	"EconomicOperands"
"credit protection"	"EconomicOperands"
"credit rating agencies"	"EconomicOperands"
"credit rating agency"	"EconomicOperands"
"credit risk"	"EconomicOperands"
"credit score"	"EconomicOperands"
"credit scores"	"EconomicOperands"
"credit union"	"EconomicOperands"
"credit unions"	"EconomicOperands"
"creditor"	"EconomicOperands"
"creditors"	"EconomicOperands"
"credits"	"EconomicOperands"
"creditworthiness"	"EconomicOperands"
"crisis"	"EconomicOperands"
"criteria"	"EconomicOperands"
"cross-marketing"	"EconomicOperands"
"custodian"	"EconomicOperands"
"custodians"	"EconomicOperands"
"customer"	"EconomicOperands"
"customer name securities"	"EconomicOperands"
"customer name security"	"EconomicOperands"
"customer property"	"EconomicOperands"
"customer property and member property"	"EconomicOperands"
"customers"	"EconomicOperands"
"data"	"EconomicOperands"
"data center"	"EconomicOperands"
"date"	"EconomicOperands"
"dates"	"EconomicOperands"
"dealer"	"EconomicOperands"
"dealers"	"EconomicOperands"
"debit card"	"EconomicOperands"
"debit cards"	"EconomicOperands"
"debt"	"EconomicOperands"
"debts"	"EconomicOperands"
"decision-making"	"EconomicOperands"
"declaration"	"EconomicOperands"
"default"	"EconomicOperands"
"defaults"	"EconomicOperands"
"defined"	"EconomicOperands"
"definition"	"EconomicOperands"
"definitions"	"EconomicOperands"
"delegation"	"EconomicOperands"
"delivery"	"EconomicOperands"
"demand"	"EconomicOperands"
"demand for"	"EconomicOperands"
"demands"	"EconomicOperands"
"deposit"	"EconomicOperands"
"deposit insurance"	"EconomicOperands"
"deposit-taking activity"	"EconomicOperands"
"depositor"	"EconomicOperands"
"depositors"	"EconomicOperands"
"depository institution"	"EconomicOperands"
"depository institution holding company"	"EconomicOperands"
"depository institutions"	"EconomicOperands"
"deposits"	"EconomicOperands"
"derivative"	"EconomicOperands"
"derivative transaction"	"EconomicOperands"
"derivative transactions"	"EconomicOperands"
"derivatives"	"EconomicOperands"
"derivatives clearing organization"	"EconomicOperands"
"derivatives clearing organizations"	"EconomicOperands"
"derivatives markets"	"EconomicOperands"
"designated activity"	"EconomicOperands"
"designated automated teller machine network"	"EconomicOperands"
"designated clearing entity"	"EconomicOperands"
"designated financial market utility"	"EconomicOperands"
"designated financial market utilitys"	"EconomicOperands"
"designated recipient"	"EconomicOperands"
"designated transfer date"	"EconomicOperands"
"detail"	"EconomicOperands"
"details"	"EconomicOperands"
"determining"	"EconomicOperands"
"development"	"EconomicOperands"
"developments"	"EconomicOperands"
"director"	"EconomicOperands"
"directors"	"EconomicOperands"
"disadvantages"	"EconomicOperands"
"disclosure"	"EconomicOperands"
"disclosures"	"EconomicOperands"
"discount"	"EconomicOperands"
"discount window"	"EconomicOperands"
"discounts"	"EconomicOperands"
"discretion"	"EconomicOperands"
"dispose"	"EconomicOperands"
"dispute resolution"	"EconomicOperands"
"disruptions"	"EconomicOperands"
"distress"	"EconomicOperands"
"distribution"	"EconomicOperands"
"distributions"	"EconomicOperands"
"diversification"	"EconomicOperands"
"diversity"	"EconomicOperands"
"dividend"	"EconomicOperands"
"dividends"	"EconomicOperands"
"documentary material"	"EconomicOperands"
"domestic"	"EconomicOperands"
"domiciliary State"	"EconomicOperands"
"duplication"	"EconomicOperands"
"duty of care"	"EconomicOperands"
"dynamics"	"EconomicOperands"
"economic growth"	"EconomicOperands"
"economy"	"EconomicOperands"
"effect"	"EconomicOperands"
"effective date"	"EconomicOperands"
"effective dates"	"EconomicOperands"
"effectiveness"	"EconomicOperands"
"effects"	"EconomicOperands"
"efficacy"	"EconomicOperands"
"efficiency"	"EconomicOperands"
"electronic benefit transfer"	"EconomicOperands"
"electronic conduit services"	"EconomicOperands"
"electronic debit transaction"	"EconomicOperands"
"electronic debit transactions"	"EconomicOperands"
"eligible contract participant"	"EconomicOperands"
"eligible contract participants"	"EconomicOperands"
"eligible entity"	"EconomicOperands"
"eligible financial company"	"EconomicOperands"
"eliminate"	"EconomicOperands"
"emergency"	"EconomicOperands"
"emerging market"	"EconomicOperands"
"empirical evidence"	"EconomicOperands"
"employee"	"EconomicOperands"
"employees"	"EconomicOperands"
"employeess"	"EconomicOperands"
"enforcement"	"EconomicOperands"
"engage"	"EconomicOperands"
"engages"	"EconomicOperands"
"engaging"	"EconomicOperands"
"ensures"	"EconomicOperands"
"entities"	"EconomicOperands"
"entity"	"EconomicOperands"
"entitys"	"EconomicOperands"
"enumerated consumer laws"	"EconomicOperands"
"equity"	"EconomicOperands"
"equity market"	"EconomicOperands"
"ethics"	"EconomicOperands"
"evasion"	"EconomicOperands"
"evasions"	"EconomicOperands"
"event"	"EconomicOperands"
"events"	"EconomicOperands"
"evidence"	"EconomicOperands"
"examination"	"EconomicOperands"
"examinations"	"EconomicOperands"
"examine"	"EconomicOperands"
"examines"	"EconomicOperands"
"exceed"	"EconomicOperands"
"exceeds"	"EconomicOperands"
"exchange"	"EconomicOperands"
"exchange facilitator"	"EconomicOperands"
"exchange facilitators"	"EconomicOperands"
"exchange ratio"	"EconomicOperands"
"exchanges"	"EconomicOperands"
"exempt commercial purchaser"	"EconomicOperands"
"exercise"	"EconomicOperands"
"exercises"	"EconomicOperands"
"exercising"	"EconomicOperands"
"existing"	"EconomicOperands"
"existing reports"	"EconomicOperands"
"existing retirement plan"	"EconomicOperands"
"expansion"	"EconomicOperands"
"expense"	"EconomicOperands"
"expenses"	"EconomicOperands"
"explanation"	"EconomicOperands"
"explanations"	"EconomicOperands"
"exposure"	"EconomicOperands"
"exposures"	"EconomicOperands"
"extent"	"EconomicOperands"
"facility"	"EconomicOperands"
"failure"	"EconomicOperands"
"failures"	"EconomicOperands"
"fair lending"	"EconomicOperands"
"fair treatment"	"EconomicOperands"
"family office"	"EconomicOperands"
"family offices"	"EconomicOperands"
"farm credit system"	"EconomicOperands"
"fdic"	"EconomicOperands"
"feature"	"EconomicOperands"
"features"	"EconomicOperands"
"federal"	"EconomicOperands"
"federal assistance"	"EconomicOperands"
"federal employee retirement program"	"EconomicOperands"
"federal insurance office"	"EconomicOperands"
"federal reserve"	"EconomicOperands"
"federally insured depository institution"	"EconomicOperands"
"fee"	"EconomicOperands"
"fee appraiser"	"EconomicOperands"
"fee appraisers"	"EconomicOperands"
"fee structures"	"EconomicOperands"
"fees"	"EconomicOperands"
"fiduciary"	"EconomicOperands"
"filing date"	"EconomicOperands"
"final"	"EconomicOperands"
"finance"	"EconomicOperands"
"financial"	"EconomicOperands"
"financial activities"	"EconomicOperands"
"financial asset"	"EconomicOperands"
"financial assets"	"EconomicOperands"
"financial company"	"EconomicOperands"
"financial condition"	"EconomicOperands"
"financial contract"	"EconomicOperands"
"financial crisis"	"EconomicOperands"
"financial entity"	"EconomicOperands"
"financial firms"	"EconomicOperands"
"financial holding companies"	"EconomicOperands"
"financial holding company"	"EconomicOperands"
"financial institution"	"EconomicOperands"
"financial institutions"	"EconomicOperands"
"financial instrument"	"EconomicOperands"
"financial instruments"	"EconomicOperands"
"financial literacy"	"EconomicOperands"
"financial market utility"	"EconomicOperands"
"financial markets"	"EconomicOperands"
"financial product"	"EconomicOperands"
"financial product or service"	"EconomicOperands"
"financial products"	"EconomicOperands"
"financial services"	"EconomicOperands"
"financial stability"	"EconomicOperands"
"financial stability oversight council"	"EconomicOperands"
"financial statements"	"EconomicOperands"
"financial system"	"EconomicOperands"
"financial transaction"	"EconomicOperands"
"financial transaction data"	"EconomicOperands"
"financial transactions"	"EconomicOperands"
"fixed rate"	"EconomicOperands"
"flood insurance"	"EconomicOperands"
"floor broker"	"EconomicOperands"
"floor trader"	"EconomicOperands"
"force-placed insurance"	"EconomicOperands"
"foreclosure"	"EconomicOperands"
"foreclosures"	"EconomicOperands"
"foreign"	"EconomicOperands"
"foreign auditor oversight authority"	"EconomicOperands"
"foreign bank"	"EconomicOperands"
"foreign banks"	"EconomicOperands"
"foreign exchange"	"EconomicOperands"
"foreign exchange forward"	"EconomicOperands"
"foreign exchange forwards"	"EconomicOperands"
"foreign exchange swap"	"EconomicOperands"
"foreign exchange swaps"	"EconomicOperands"
"foreign government"	"EconomicOperands"
"foreign governments"	"EconomicOperands"
"foreign law enforcement authority"	"EconomicOperands"
"foreign nonbank financial company"	"EconomicOperands"
"foreign private adviser"	"EconomicOperands"
"foreign private advisers"	"EconomicOperands"
"formal"	"EconomicOperands"
"formation"	"EconomicOperands"
"forward contract"	"EconomicOperands"
"forward contracts"	"EconomicOperands"
"framework"	"EconomicOperands"
"fraud"	"EconomicOperands"
"frauds"	"EconomicOperands"
"frequency"	"EconomicOperands"
"frequency of"	"EconomicOperands"
"fully indexed rate"	"EconomicOperands"
"function"	"EconomicOperands"
"function of"	"EconomicOperands"
"functionally regulated subsidiaries"	"EconomicOperands"
"functionally regulated subsidiary"	"EconomicOperands"
"functions"	"EconomicOperands"
"functions of"	"EconomicOperands"
"fund"	"EconomicOperands"
"funding"	"EconomicOperands"
"funds"	"EconomicOperands"
"future"	"EconomicOperands"
"futures"	"EconomicOperands"
"futures commission merchant"	"EconomicOperands"
"futures commission merchants"	"EconomicOperands"
"g"	"EconomicOperands"
"gain"	"EconomicOperands"
"gains"	"EconomicOperands"
"gains and losses resulting"	"EconomicOperands"
"gaps"	"EconomicOperands"
"gatekeeper"	"EconomicOperands"
"gatekeepers"	"EconomicOperands"
"generally applicable leverage capital requirements"	"EconomicOperands"
"generally applicable risk-based capital requirements"	"EconomicOperands"
"geographic"	"EconomicOperands"
"goal"	"EconomicOperands"
"goals"	"EconomicOperands"
"goods"	"EconomicOperands"
"governance"	"EconomicOperands"
"government"	"EconomicOperands"
"government-sponsored enterprises"	"EconomicOperands"
"governments"	"EconomicOperands"
"grandfathered"	"EconomicOperands"
"grandfathered unitary savings and loan holding company"	"EconomicOperands"
"gross revenues"	"EconomicOperands"
"group"	"EconomicOperands"
"groups"	"EconomicOperands"
"growth"	"EconomicOperands"
"guaranteed investment contract"	"EconomicOperands"
"guaranteed investment contracts"	"EconomicOperands"
"harmonization"	"EconomicOperands"
"hazard insurance"	"EconomicOperands"
"health"	"EconomicOperands"
"hedge fund"	"EconomicOperands"
"hedge funds"	"EconomicOperands"
"hedging"	"EconomicOperands"
"hedging transaction"	"EconomicOperands"
"held"	"EconomicOperands"
"high growth"	"EconomicOperands"
"high-cost mortgage"	"EconomicOperands"
"high-cost mortgages"	"EconomicOperands"
"high-frequency trading"	"EconomicOperands"
"higher-risk mortgage"	"EconomicOperands"
"holding companies"	"EconomicOperands"
"holding company"	"EconomicOperands"
"holdings"	"EconomicOperands"
"holds"	"EconomicOperands"
"home"	"EconomicOperands"
"home State"	"EconomicOperands"
"home States"	"EconomicOperands"
"home owners"	"EconomicOperands"
"homeownership counseling"	"EconomicOperands"
"homes"	"EconomicOperands"
"house of Representatives"	"EconomicOperands"
"house of representatives"	"EconomicOperands"
"households"	"EconomicOperands"
"housing"	"EconomicOperands"
"housing markets"	"EconomicOperands"
"human"	"EconomicOperands"
"human rights"	"EconomicOperands"
"hybrid"	"EconomicOperands"
"hybrid adjustable rate mortgage"	"EconomicOperands"
"hybrid adjustable rate mortgages"	"EconomicOperands"
"identify"	"EconomicOperands"
"illiquid"	"EconomicOperands"
"illiquid fund"	"EconomicOperands"
"illiquid funds"	"EconomicOperands"
"impact"	"EconomicOperands"
"impact on financial stability"	"EconomicOperands"
"impacts"	"EconomicOperands"
"implementation expenses"	"EconomicOperands"
"importance"	"EconomicOperands"
"improvements"	"EconomicOperands"
"in concert"	"EconomicOperands"
"in danger of default"	"EconomicOperands"
"incentive"	"EconomicOperands"
"incentives"	"EconomicOperands"
"incidental"	"EconomicOperands"
"include"	"EconomicOperands"
"includes"	"EconomicOperands"
"including"	"EconomicOperands"
"incorporated"	"EconomicOperands"
"increase"	"EconomicOperands"
"increases"	"EconomicOperands"
"independence"	"EconomicOperands"
"independent"	"EconomicOperands"
"independently procured insurance"	"EconomicOperands"
"index"	"EconomicOperands"
"industrial"	"EconomicOperands"
"industrial bank"	"EconomicOperands"
"industrial loan companies"	"EconomicOperands"
"inform"	"EconomicOperands"
"information"	"EconomicOperands"
"information technology"	"EconomicOperands"
"information-sharing"	"EconomicOperands"
"initial"	"EconomicOperands"
"initial public offerings"	"EconomicOperands"
"innovation"	"EconomicOperands"
"innovations"	"EconomicOperands"
"insider"	"EconomicOperands"
"insiders"	"EconomicOperands"
"insolvency"	"EconomicOperands"
"insolvent"	"EconomicOperands"
"inspection"	"EconomicOperands"
"inspections"	"EconomicOperands"
"institution"	"EconomicOperands"
"institution of higher education"	"EconomicOperands"
"institutions"	"EconomicOperands"
"instruments"	"EconomicOperands"
"insufficiency"	"EconomicOperands"
"insurance"	"EconomicOperands"
"insurance company"	"EconomicOperands"
"insurance regulation"	"EconomicOperands"
"insured bank"	"EconomicOperands"
"insured banks"	"EconomicOperands"
"insured branch"	"EconomicOperands"
"insured credit union"	"EconomicOperands"
"insured credit unions"	"EconomicOperands"
"insured depository institution"	"EconomicOperands"
"insured depository institutions"	"EconomicOperands"
"insurer"	"EconomicOperands"
"insurers"	"EconomicOperands"
"integrity"	"EconomicOperands"
"intent"	"EconomicOperands"
"interactive data format"	"EconomicOperands"
"interactive data standard"	"EconomicOperands"
"interchange transaction fee"	"EconomicOperands"
"interchange transaction fees"	"EconomicOperands"
"interest"	"EconomicOperands"
"interest rate"	"EconomicOperands"
"interest rates"	"EconomicOperands"
"interest-bearing transaction"	"EconomicOperands"
"interested parties"	"EconomicOperands"
"interests"	"EconomicOperands"
"interlocks"	"EconomicOperands"
"intermediaries"	"EconomicOperands"
"intermediate"	"EconomicOperands"
"intermediate holding company"	"EconomicOperands"
"internal financial"	"EconomicOperands"
"internal financial activities"	"EconomicOperands"
"international"	"EconomicOperands"
"international financial institutions"	"EconomicOperands"
"internet"	"EconomicOperands"
"interpretations"	"EconomicOperands"
"interstate"	"EconomicOperands"
"interstate acquisitions"	"EconomicOperands"
"interstate merger transaction"	"EconomicOperands"
"intervention"	"EconomicOperands"
"introducing broker"	"EconomicOperands"
"introducing brokers"	"EconomicOperands"
"investment"	"EconomicOperands"
"investment activities"	"EconomicOperands"
"investment adviser"	"EconomicOperands"
"investment advisers"	"EconomicOperands"
"investment company"	"EconomicOperands"
"investment services"	"EconomicOperands"
"investment strategies"	"EconomicOperands"
"investments"	"EconomicOperands"
"investor"	"EconomicOperands"
"investor protection"	"EconomicOperands"
"investor protections"	"EconomicOperands"
"investors"	"EconomicOperands"
"involve"	"EconomicOperands"
"involvement"	"EconomicOperands"
"involves"	"EconomicOperands"
"issue"	"EconomicOperands"
"issuer"	"EconomicOperands"
"issuers"	"EconomicOperands"
"issues"	"EconomicOperands"
"it"	"EconomicOperands"
"its"	"EconomicOperands"
"joint"	"EconomicOperands"
"joint resolution"	"EconomicOperands"
"junior"	"EconomicOperands"
"jurisdiction"	"EconomicOperands"
"jurisdictions"	"EconomicOperands"
"large banks"	"EconomicOperands"
"large financial firms"	"EconomicOperands"
"law"	"EconomicOperands"
"laws"	"EconomicOperands"
"lead insured depository institution"	"EconomicOperands"
"lease"	"EconomicOperands"
"leases"	"EconomicOperands"
"leasing"	"EconomicOperands"
"legitimacy"	"EconomicOperands"
"lending"	"EconomicOperands"
"liabilities"	"EconomicOperands"
"licensing"	"EconomicOperands"
"limit"	"EconomicOperands"
"limitation"	"EconomicOperands"
"limitations"	"EconomicOperands"
"limits"	"EconomicOperands"
"link"	"EconomicOperands"
"liquidity"	"EconomicOperands"
"liquidity event"	"EconomicOperands"
"liquidity requirements"	"EconomicOperands"
"loan"	"EconomicOperands"
"loan commitment"	"EconomicOperands"
"loans"	"EconomicOperands"
"local"	"EconomicOperands"
"located"	"EconomicOperands"
"locations"	"EconomicOperands"
"loss"	"EconomicOperands"
"losses"	"EconomicOperands"
"low-income"	"EconomicOperands"
"main"	"EconomicOperands"
"major security-based swap participant"	"EconomicOperands"
"major security-based swap participants"	"EconomicOperands"
"major swap participant"	"EconomicOperands"
"major swap participants"	"EconomicOperands"
"managed"	"EconomicOperands"
"management"	"EconomicOperands"
"management strategy"	"EconomicOperands"
"manager"	"EconomicOperands"
"managers"	"EconomicOperands"
"mandate"	"EconomicOperands"
"manufactured home"	"EconomicOperands"
"manufactured homes"	"EconomicOperands"
"margin"	"EconomicOperands"
"margins"	"EconomicOperands"
"market"	"EconomicOperands"
"market abuses"	"EconomicOperands"
"market discipline"	"EconomicOperands"
"market efficiency"	"EconomicOperands"
"market manipulation"	"EconomicOperands"
"market operations"	"EconomicOperands"
"market power"	"EconomicOperands"
"market structures"	"EconomicOperands"
"market transparency"	"EconomicOperands"
"markets"	"EconomicOperands"
"material loss"	"EconomicOperands"
"measure"	"EconomicOperands"
"measurements"	"EconomicOperands"
"measures"	"EconomicOperands"
"measuring"	"EconomicOperands"
"mechanism"	"EconomicOperands"
"mechanisms"	"EconomicOperands"
"member"	"EconomicOperands"
"member agency"	"EconomicOperands"
"members"	"EconomicOperands"
"memorandum of understanding"	"EconomicOperands"
"merger"	"EconomicOperands"
"mergers"	"EconomicOperands"
"method"	"EconomicOperands"
"methodology"	"EconomicOperands"
"methods"	"EconomicOperands"
"mid-tier"	"EconomicOperands"
"minority"	"EconomicOperands"
"minority-owned business"	"EconomicOperands"
"misleading designation"	"EconomicOperands"
"misleading designations"	"EconomicOperands"
"misleading or fraudulent marketing"	"EconomicOperands"
"mismanagement"	"EconomicOperands"
"mix"	"EconomicOperands"
"models"	"EconomicOperands"
"modification"	"EconomicOperands"
"modifications"	"EconomicOperands"
"modular home"	"EconomicOperands"
"monetary"	"EconomicOperands"
"monetary policy"	"EconomicOperands"
"monetary sanctions"	"EconomicOperands"
"money laundering"	"EconomicOperands"
"monitor"	"EconomicOperands"
"monitoring"	"EconomicOperands"
"moral hazard"	"EconomicOperands"
"mortgage market"	"EconomicOperands"
"mortgage markets"	"EconomicOperands"
"mortgage originator"	"EconomicOperands"
"mortgage originators"	"EconomicOperands"
"mortgage-backed securities"	"EconomicOperands"
"mortgage-backed security"	"EconomicOperands"
"motor vehicle"	"EconomicOperands"
"motor vehicle dealer"	"EconomicOperands"
"motor vehicle dealers"	"EconomicOperands"
"motor vehicles"	"EconomicOperands"
"multifamily properties"	"EconomicOperands"
"municipal advisor"	"EconomicOperands"
"municipal advisors"	"EconomicOperands"
"municipal entity"	"EconomicOperands"
"municipal financial product"	"EconomicOperands"
"municipal financial products"	"EconomicOperands"
"mutual funds"	"EconomicOperands"
"mutual holding company"	"EconomicOperands"
"national bank"	"EconomicOperands"
"national banks"	"EconomicOperands"
"national member bank"	"EconomicOperands"
"national nonmember bank"	"EconomicOperands"
"nationally recognized statistical rating organization"	"EconomicOperands"
"nationally recognized statistical rating organizations"	"EconomicOperands"
"nature"	"EconomicOperands"
"need"	"EconomicOperands"
"needs"	"EconomicOperands"
"net equity"	"EconomicOperands"
"network fee"	"EconomicOperands"
"network fees"	"EconomicOperands"
"new"	"EconomicOperands"
"news"	"EconomicOperands"
"non-United States insurer"	"EconomicOperands"
"non-discriminatory"	"EconomicOperands"
"nonadmitted insurance"	"EconomicOperands"
"nonadmitted insurer"	"EconomicOperands"
"nonadmitted insurers"	"EconomicOperands"
"nonbank"	"EconomicOperands"
"nonbank financial company"	"EconomicOperands"
"nonbank financial company supervised by the Board"	"EconomicOperands"
"nonbank financial company supervised by the Board of Governors"	"EconomicOperands"
"nonbanks"	"EconomicOperands"
"nondepository"	"EconomicOperands"
"nonfinancial"	"EconomicOperands"
"noninterest-bearing transaction account"	"EconomicOperands"
"noninterest-bearing transaction accounts"	"EconomicOperands"
"nonprofit organization"	"EconomicOperands"
"nonprofit organizations"	"EconomicOperands"
"nonvoting member"	"EconomicOperands"
"nonvoting members"	"EconomicOperands"
"norms"	"EconomicOperands"
"notice"	"EconomicOperands"
"notices"	"EconomicOperands"
"nrsro"	"EconomicOperands"
"number"	"EconomicOperands"
"numbers"	"EconomicOperands"
"oath"	"EconomicOperands"
"oaths"	"EconomicOperands"
"objective"	"EconomicOperands"
"objectives"	"EconomicOperands"
"obligated person"	"EconomicOperands"
"obligated persons"	"EconomicOperands"
"obligation"	"EconomicOperands"
"obligations"	"EconomicOperands"
"obtain"	"EconomicOperands"
"obtained"	"EconomicOperands"
"obtains"	"EconomicOperands"
"of debts"	"EconomicOperands"
"of securities"	"EconomicOperands"
"off-balance-sheet"	"EconomicOperands"
"off-balance-sheet activities"	"EconomicOperands"
"office"	"EconomicOperands"
"office of financial research"	"EconomicOperands"
"office of the Comptroller of the Currency"	"EconomicOperands"
"office of the comptroller of the currency"	"EconomicOperands"
"officers"	"EconomicOperands"
"offices"	"EconomicOperands"
"online"	"EconomicOperands"
"online banking"	"EconomicOperands"
"open market operations"	"EconomicOperands"
"operating"	"EconomicOperands"
"operation"	"EconomicOperands"
"operational"	"EconomicOperands"
"operational risk"	"EconomicOperands"
"operational risks"	"EconomicOperands"
"operations"	"EconomicOperands"
"operator"	"EconomicOperands"
"opportunities"	"EconomicOperands"
"opportunity"	"EconomicOperands"
"order"	"EconomicOperands"
"order issued"	"EconomicOperands"
"orderly liquidation authority"	"EconomicOperands"
"orders"	"EconomicOperands"
"organized"	"EconomicOperands"
"origin"	"EconomicOperands"
"original information"	"EconomicOperands"
"originator"	"EconomicOperands"
"originators"	"EconomicOperands"
"other financial institutions"	"EconomicOperands"
"outcome"	"EconomicOperands"
"outcomes"	"EconomicOperands"
"oversight"	"EconomicOperands"
"owned"	"EconomicOperands"
"ownership"	"EconomicOperands"
"ownership structure"	"EconomicOperands"
"packages"	"EconomicOperands"
"parent"	"EconomicOperands"
"parents"	"EconomicOperands"
"partnership"	"EconomicOperands"
"partnerships"	"EconomicOperands"
"pay"	"EconomicOperands"
"paying agent"	"EconomicOperands"
"paying agents"	"EconomicOperands"
"payment"	"EconomicOperands"
"payment and settlement systems"	"EconomicOperands"
"payment card network"	"EconomicOperands"
"payment card networks"	"EconomicOperands"
"payment clearing or settlement activity"	"EconomicOperands"
"payment instrument"	"EconomicOperands"
"payment instruments"	"EconomicOperands"
"payment services"	"EconomicOperands"
"payments"	"EconomicOperands"
"pays"	"EconomicOperands"
"perform"	"EconomicOperands"
"performance"	"EconomicOperands"
"performs"	"EconomicOperands"
"period"	"EconomicOperands"
"period beginning"	"EconomicOperands"
"periods"	"EconomicOperands"
"person"	"EconomicOperands"
"person associated with a municipal advisor"	"EconomicOperands"
"person associated with a security-based swap dealer or major security-based swap participant"	"EconomicOperands"
"person regulated by a State insurance regulator"	"EconomicOperands"
"person regulated by the Commission"	"EconomicOperands"
"person regulated by the Commodity Futures Trading Commission"	"EconomicOperands"
"person regulated by the Farm Credit Administration"	"EconomicOperands"
"person that performs income tax preparation activities for consumers"	"EconomicOperands"
"persons"	"EconomicOperands"
"perspective"	"EconomicOperands"
"placement agent"	"EconomicOperands"
"placement agents"	"EconomicOperands"
"plan"	"EconomicOperands"
"plans"	"EconomicOperands"
"point"	"EconomicOperands"
"points"	"EconomicOperands"
"points and fees"	"EconomicOperands"
"policies"	"EconomicOperands"
"policy"	"EconomicOperands"
"policy development"	"EconomicOperands"
"policy issues"	"EconomicOperands"
"portfolio"	"EconomicOperands"
"portfolios"	"EconomicOperands"
"pose"	"EconomicOperands"
"poses"	"EconomicOperands"
"position data"	"EconomicOperands"
"positions"	"EconomicOperands"
"potential"	"EconomicOperands"
"potential consequences"	"EconomicOperands"
"power"	"EconomicOperands"
"powers"	"EconomicOperands"
"practice"	"EconomicOperands"
"practices"	"EconomicOperands"
"predatory lending"	"EconomicOperands"
"premium tax"	"EconomicOperands"
"premiums"	"EconomicOperands"
"prepaid card"	"EconomicOperands"
"prepaid cards"	"EconomicOperands"
"price"	"EconomicOperands"
"price movements"	"EconomicOperands"
"prices"	"EconomicOperands"
"primary financial regulatory agency"	"EconomicOperands"
"principal"	"EconomicOperands"
"principally"	"EconomicOperands"
"principally invest"	"EconomicOperands"
"principals"	"EconomicOperands"
"principle"	"EconomicOperands"
"principles"	"EconomicOperands"
"prior"	"EconomicOperands"
"private"	"EconomicOperands"
"private education loan"	"EconomicOperands"
"private education loans"	"EconomicOperands"
"private equity"	"EconomicOperands"
"private equity firms"	"EconomicOperands"
"private equity fund"	"EconomicOperands"
"private equity funds"	"EconomicOperands"
"private fund"	"EconomicOperands"
"private funds"	"EconomicOperands"
"privatization"	"EconomicOperands"
"privilege"	"EconomicOperands"
"privileges"	"EconomicOperands"
"probability of default"	"EconomicOperands"
"problem"	"EconomicOperands"
"problems"	"EconomicOperands"
"procedures"	"EconomicOperands"
"process"	"EconomicOperands"
"product"	"EconomicOperands"
"product markets"	"EconomicOperands"
"products"	"EconomicOperands"
"professional"	"EconomicOperands"
"professional standards"	"EconomicOperands"
"professionals"	"EconomicOperands"
"profit"	"EconomicOperands"
