sec,#D4C26A
chairperson,#806D15
financial,#806D15
office,yellow
bank holding company,green
company,#806D15
predominantly,#FFF0AA
commission,#806D15
nonbank financial company,yellow
protection,#AA0739
farm credit system,#AA0739
security-based,yellow
bureau,green
financial stability,#AA0739
consumer,#D4C26A
clearing agency,green
