Act;LegalReferences;143
title;LegalReferences;46
as;FunctionWords;164
consumer;EconomicOperands;165
law;EconomicOperands;37
may;FunctionWords;123
be;FunctionWords;188
cited;Other;2
the;FunctionWords;2251
under;FunctionWords;223
of;FunctionWords;1571
Bureau;EconomicOperands;23
Consumer;EconomicOperands;14
Financial;EconomicOperands;12
A;FunctionWords;34
and;LogicalConnectors;941
1471;LegalReferences;1
amendments;Other;9
made;FunctionWords;62
by;FunctionWords;486
such;FunctionWords;282
sections;LegalReferences;16
shall;FunctionWords;308
laws;EconomicOperands;5
defined;EconomicOperands;41
in;FunctionWords;483
1002;LegalReferences;1
for;FunctionWords;380
purposes;EconomicOperands;67
X;LegalReferences;3
including;EconomicOperands;67
transfer;EconomicOperands;3
functions;EconomicOperands;13
F;LegalReferences;1
savings;FunctionWords;1
provisions;EconomicOperands;26
Regulations;EconomicOperands;8
date;EconomicOperands;67
The;FunctionWords;157
regulations;EconomicOperands;53
required;RegulatoryOperators;57
to;FunctionWords;768
prescribed;RegulatoryOperators;28
or;LogicalConnectors;643
final;EconomicOperands;11
before;LogicalConnectors;26
end;Other;61
beginning;EconomicOperands;13
on;FunctionWords;199
effect;RegulatoryOperators;24
later;LogicalConnectors;12
than;FunctionWords;80
after;LogicalConnectors;99
rule;EconomicOperands;7
Except;FunctionWords;8
provided;EconomicOperands;56
(3);LegalReferences;8
a;FunctionWords;662
section;LegalReferences;175
provision;EconomicOperands;24
thereof;FunctionWords;4
which;FunctionWords;94
implementing;RegulatoryOperators;2
have;FunctionWords;39
not;FunctionWords;145
is;FunctionWords;273
months;Attributes;5
Loan;EconomicOperands;2
Standards;EconomicOperands;11
Definitions;EconomicOperands;7
Lending;EconomicOperands;54
amended;Other;98
adding;Other;33
at;FunctionWords;97
following;FunctionWords;106
new;EconomicOperands;76
subsection;LegalReferences;79
class;EconomicOperands;79
loans;EconomicOperands;74
Commission;EconomicOperands;6
Unless;LogicalConnectors;3
otherwise;LogicalConnectors;16
term;Other;69
means;Other;38
Federal;EconomicOperands;55
originator;EconomicOperands;38
any;FunctionWords;262
person;EconomicOperands;49
who;FunctionWords;32
direct;Attributes;9
indirect;Attributes;6
compensation;EconomicOperands;10
gain;EconomicOperands;3
takes;FunctionWords;4
loan;EconomicOperands;244
application;EconomicOperands;13
obtain;EconomicOperands;11
terms;Other;36
includes;EconomicOperands;7
represents;EconomicOperands;1
public;EconomicOperands;21
through;FunctionWords;24
other;FunctionWords;105
information;EconomicOperands;47
(including;EconomicOperands;13
use;EconomicOperands;22
business;EconomicOperands;4
that;FunctionWords;262
can;FunctionWords;7
will;FunctionWords;36
provide;EconomicOperands;45
services;EconomicOperands;34
perform;EconomicOperands;7
activities;EconomicOperands;14
described;Other;22
(A);LegalReferences;15
include;EconomicOperands;44
(B);LegalReferences;9
performs;EconomicOperands;3
subparagraph;Other;9
an;FunctionWords;172
employee;EconomicOperands;4
homes;EconomicOperands;5
(i);FunctionWords;4
rates;EconomicOperands;10
fees;EconomicOperands;58
costs);EconomicOperands;2
entity;EconomicOperands;12
registered;EconomicOperands;7
with;FunctionWords;193
applicable;FunctionWords;34
State;EconomicOperands;97
unless;LogicalConnectors;20
broker;EconomicOperands;8
agent;EconomicOperands;4
trust;EconomicOperands;15
provides;EconomicOperands;15
sale;EconomicOperands;10
3;FunctionWords;10
period;EconomicOperands;35
purchasers;EconomicOperands;1
each;FunctionWords;45
owned;EconomicOperands;7
security;EconomicOperands;7
has;FunctionWords;70
property;EconomicOperands;71
determines;RegulatoryOperators;13
reasonable;Attributes;28
ability;EconomicOperands;22
rate;EconomicOperands;75
more;FunctionWords;47
years;EconomicOperands;14
annual;Attributes;20
limitations;EconomicOperands;6
increases;EconomicOperands;3
criteria;EconomicOperands;16
Board;EconomicOperands;56
prescribe;RegulatoryOperators;17
creditor;EconomicOperands;108
(except;FunctionWords;2
transaction);EconomicOperands;3
(1);LegalReferences;30
(2);LegalReferences;21
(4);LegalReferences;12
servicer;EconomicOperands;45
employees;EconomicOperands;3
agents;EconomicOperands;3
but;LogicalConnectors;19
those;FunctionWords;10
principal;EconomicOperands;57
existing;EconomicOperands;19
where;FunctionWords;18
are;FunctionWords;68
behind;FunctionWords;2
their;FunctionWords;12
payments;EconomicOperands;42
default;EconomicOperands;11
Registry;EconomicOperands;3
same;FunctionWords;14
meaning;Other;6
Enforcement;EconomicOperands;36
2008;LegalReferences;9
Other;FunctionWords;1
definitions;EconomicOperands;3
For;FunctionWords;44
among;FunctionWords;4
packages;EconomicOperands;1
credit;EconomicOperands;101
transaction;EconomicOperands;90
interest;EconomicOperands;36
plan;EconomicOperands;13
128(a);LegalReferences;1
128(f);LegalReferences;1
11;LegalReferences;3
States;EconomicOperands;23
Secretary;EconomicOperands;104
when;FunctionWords;14
used;EconomicOperands;22
Housing;EconomicOperands;98
Development;EconomicOperands;45
Servicer;EconomicOperands;3
6(i)(2);LegalReferences;1
2605(i)(2));LegalReferences;1
general;FunctionWords;68
2;FunctionWords;24
redesignating;Other;8
1639a);LegalReferences;1
servicers;EconomicOperands;7
mortgages);EconomicOperands;1
inserting;Other;88
(as;FunctionWords;43
so;LogicalConnectors;4
redesignated);Other;1
purpose;EconomicOperands;9
Congress;EconomicOperands;15
would;FunctionWords;15
limitation;EconomicOperands;9
regulation;EconomicOperands;12
mortgage;EconomicOperands;52
practices;EconomicOperands;17
related;FunctionWords;31
while;LogicalConnectors;3
ensuring;RegulatoryOperators;2
affordable;EconomicOperands;10
remains;EconomicOperands;3
available;EconomicOperands;56
consumers;EconomicOperands;51
Purpose;EconomicOperands;1
It;EconomicOperands;3
care;EconomicOperands;1
Standard;EconomicOperands;1
qualified;EconomicOperands;5
all;FunctionWords;53
unique;EconomicOperands;1
Compliance;EconomicOperands;2
procedures;EconomicOperands;16
institutions;EconomicOperands;9
establish;RegulatoryOperators;20
monitor;EconomicOperands;6
compliance;EconomicOperands;13
subsidiaries;EconomicOperands;3
requirements;EconomicOperands;59
registration;EconomicOperands;8
1507;LegalReferences;1
amendment;Other;7
129;LegalReferences;13
Prohibition;RegulatoryOperators;5
incentives;EconomicOperands;2
1402(a));LegalReferences;2
(b);LegalReferences;22
no;FunctionWords;28
from;FunctionWords;73
pay;EconomicOperands;17
directly;Attributes;14
indirectly;Attributes;7
amount;EconomicOperands;82
principal);EconomicOperands;3
Restructuring;EconomicOperands;1
fee;EconomicOperands;36
charge;EconomicOperands;19
except;FunctionWords;20
fide;EconomicOperands;12
charges;EconomicOperands;14
affiliate;EconomicOperands;9
Exception;RegulatoryOperators;4
Notwithstanding;LogicalConnectors;11
if;LogicalConnectors;44
make;FunctionWords;23
payment;EconomicOperands;72
discount;EconomicOperands;9
points;EconomicOperands;41
however;LogicalConnectors;1
originator);EconomicOperands;3
exemptions;RegulatoryOperators;3
this;FunctionWords;12
exemption;RegulatoryOperators;3
originators;EconomicOperands;6
characteristics;EconomicOperands;2
effects;EconomicOperands;2
equity;EconomicOperands;7
terms);Other;1
lending;EconomicOperands;13
value;EconomicOperands;22
recommend;EconomicOperands;2
another;FunctionWords;4
construction;Other;4
No;FunctionWords;23
construed;Other;10
similar;FunctionWords;5
permit;RegulatoryOperators;3
total;Attributes;23
sources;EconomicOperands;2
permitted;RegulatoryOperators;4
limiting;RegulatoryOperators;2
upon;FunctionWords;10
purchaser;EconomicOperands;1
finance;EconomicOperands;11
costs;EconomicOperands;12
right;EconomicOperands;7
compensation);EconomicOperands;1
(2)(B);LegalReferences;2
about;FunctionWords;11
whether;FunctionWords;20
incentive;EconomicOperands;1
within;FunctionWords;24
time;EconomicOperands;32
(c);LegalReferences;8
1403);LegalReferences;1
violations;EconomicOperands;7
cause;EconomicOperands;4
action;EconomicOperands;23
failure;EconomicOperands;4
comply;RegulatoryOperators;9
requirement;EconomicOperands;11
130;LegalReferences;3
violation;EconomicOperands;21
exceed;EconomicOperands;33
greater;LogicalConnectors;4
times;EconomicOperands;3
plus;FunctionWords;4
regulatory;EconomicOperands;13
authority;EconomicOperands;17
Section;LegalReferences;10
(d);LegalReferences;5
1404);LegalReferences;1
acts;LegalReferences;5
necessary;Attributes;20
ensure;RegulatoryOperators;12
manner;Other;12
consistent;Attributes;12
prevent;RegulatoryOperators;5
evasion;EconomicOperands;4
Application;EconomicOperands;2
105;LegalReferences;2
apply;RegulatoryOperators;21
Disclosures;EconomicOperands;4
understanding;EconomicOperands;1
transactions;EconomicOperands;14
disclosures;EconomicOperands;2
exempt;RegulatoryOperators;6
disclosure;EconomicOperands;7
whole;FunctionWords;2
part;FunctionWords;7
modification;EconomicOperands;13
Study;EconomicOperands;7
consultation;EconomicOperands;8
agencies;EconomicOperands;29
conduct;EconomicOperands;12
study;EconomicOperands;25
determine;RegulatoryOperators;13
strengthen;EconomicOperands;1
local;EconomicOperands;13
markets;EconomicOperands;2
opportunities;EconomicOperands;2
risk;EconomicOperands;8
foreclosure;EconomicOperands;46
Report;EconomicOperands;7
enactment;Other;18
submit;EconomicOperands;9
report;EconomicOperands;25
results;EconomicOperands;3
recommendations;EconomicOperands;8
(a);LegalReferences;23
Ability;EconomicOperands;2
order;EconomicOperands;3
institution;EconomicOperands;19
underwriting;EconomicOperands;9
standards;EconomicOperands;21
appropriate;Attributes;32
regulator;EconomicOperands;2
Amendment;Other;3
act;LegalReferences;2
To;FunctionWords;5
makes;FunctionWords;5
its;EconomicOperands;9
insurance;EconomicOperands;83
insurance);EconomicOperands;2
assessments;EconomicOperands;8
If;LogicalConnectors;12
1;FunctionWords;11
obligations;EconomicOperands;3
debt;EconomicOperands;13
financial;EconomicOperands;12
over;FunctionWords;11
making;FunctionWords;13
amounts;EconomicOperands;34
assets;EconomicOperands;4
Service;EconomicOperands;5
tax;EconomicOperands;2
returns;EconomicOperands;2
records;EconomicOperands;1
evidence;EconomicOperands;2
against;FunctionWords;11
reporting;EconomicOperands;8
method;EconomicOperands;6
rules;EconomicOperands;16
Exemption;RegulatoryOperators;3
conditions;EconomicOperands;11
days;Attributes;23
past;FunctionWords;4
prior;EconomicOperands;10
increase;EconomicOperands;6
extent;EconomicOperands;6
agency;EconomicOperands;46
Total;Attributes;1
103(aa)(4);LegalReferences;3
percent;Attributes;33
they;FunctionWords;5
issue;EconomicOperands;5
result;EconomicOperands;11
Both;FunctionWords;1
determining;EconomicOperands;8
requires;RegulatoryOperators;3
permits;RegulatoryOperators;3
amortization;EconomicOperands;8
In;FunctionWords;21
also;LogicalConnectors;14
consideration;EconomicOperands;3
process;EconomicOperands;19
consummation;EconomicOperands;17
contract;EconomicOperands;10
payment);EconomicOperands;1
(I);LegalReferences;3
first;LogicalConnectors;26
contracts;EconomicOperands;2
least;LogicalConnectors;9
above;FunctionWords;4
without;FunctionWords;11
considering;LogicalConnectors;3
hybrid;EconomicOperands;4
into;FunctionWords;14
