of;EconomicOperands;223
to;LogicalConnectors;104
funds;EconomicOperands;20
and;LogicalConnectors;114
others;FunctionWords;1
title;LegalReferences;21
may;FunctionWords;24
be;FunctionWords;29
cited;Other;1
as;FunctionWords;55
the;FunctionWords;309
Fund;EconomicOperands;1
Investment;EconomicOperands;1
2010;LegalReferences;4
Definitions;EconomicOperands;1
1940;LegalReferences;26
definitions;EconomicOperands;2
202(a);LegalReferences;1
is;LogicalConnectors;23
amended;Other;13
by;FunctionWords;68
adding;Other;9
at;FunctionWords;17
end;Other;13
following;FunctionWords;16
class;EconomicOperands;11
The;FunctionWords;21
term;Other;14
fund;EconomicOperands;21
means;Other;2
an;FunctionWords;31
issuer;EconomicOperands;1
that;FunctionWords;28
would;FunctionWords;4
company;EconomicOperands;10
defined;EconomicOperands;5
in;FunctionWords;70
3;FunctionWords;3
but;LogicalConnectors;4
for;FunctionWords;43
3(c)(7);LegalReferences;1
Act;LegalReferences;13
adviser;EconomicOperands;45
any;FunctionWords;44
who;FunctionWords;7
has;FunctionWords;14
no;FunctionWords;1
business;EconomicOperands;9
States;EconomicOperands;14
total;Attributes;2
fewer;FunctionWords;1
than;FunctionWords;18
investors;EconomicOperands;18
aggregate;EconomicOperands;2
assets;EconomicOperands;10
under;FunctionWords;41
management;EconomicOperands;5
or;LogicalConnectors;81
such;FunctionWords;48
amount;EconomicOperands;7
Commission;EconomicOperands;75
rule;EconomicOperands;13
appropriate;Attributes;12
with;FunctionWords;28
purposes;EconomicOperands;9
neither;FunctionWords;1
holds;EconomicOperands;1
itself;FunctionWords;1
out;EconomicOperands;2
generally;FunctionWords;1
public;EconomicOperands;14
nor;LogicalConnectors;1
acts;LegalReferences;4
registered;EconomicOperands;15
a;FunctionWords;41
development;EconomicOperands;3
54;LegalReferences;3
not;FunctionWords;12
its;EconomicOperands;5
Other;FunctionWords;2
As;FunctionWords;1
used;EconomicOperands;4
terms;Other;3
have;FunctionWords;6
same;FunctionWords;3
meanings;Other;1
202;LegalReferences;1
private;EconomicOperands;2
exemption;RegulatoryOperators;5
advisers;EconomicOperands;9
(1);LegalReferences;4
inserting;Other;9
before;LogicalConnectors;5
all;FunctionWords;4
whose;FunctionWords;2
striking;Other;5
(3);LegalReferences;3
(5);LegalReferences;1
(6);LegalReferences;1
(A);LegalReferences;5
redesignating;Other;3
(B);LegalReferences;2
(ii);LegalReferences;2
(as;FunctionWords;2
so;LogicalConnectors;1
redesignated);Other;1
period;EconomicOperands;7
advisor;EconomicOperands;1
if;LogicalConnectors;7
after;LogicalConnectors;14
date;EconomicOperands;13
enactment;Other;13
should;FunctionWords;3
provision;EconomicOperands;4
advice;EconomicOperands;8
then;LogicalConnectors;2
shall;FunctionWords;39
entity;EconomicOperands;1
regulated;RegulatoryOperators;2
solely;LogicalConnectors;4
investment;EconomicOperands;14
companies;EconomicOperands;3
are;FunctionWords;5
1958;LegalReferences;3
entities;EconomicOperands;1
from;FunctionWords;13
Business;EconomicOperands;1
notice;EconomicOperands;4
qualify;EconomicOperands;2
which;FunctionWords;11
applicants;EconomicOperands;1
1;FunctionWords;10
more;FunctionWords;6
described;Other;5
another;FunctionWords;1
application;EconomicOperands;1
remains;EconomicOperands;1
pending;FunctionWords;1
risk;EconomicOperands;11
data;EconomicOperands;3
reports;EconomicOperands;17
examinations;EconomicOperands;3
disclosures;EconomicOperands;1
(c);LegalReferences;1
(d);LegalReferences;1
(a);LegalReferences;4
Records;EconomicOperands;1
general;FunctionWords;7
require;RegulatoryOperators;3
records;EconomicOperands;19
regarding;LogicalConnectors;4
necessary;Attributes;8
interest;EconomicOperands;11
assessment;EconomicOperands;6
Council;EconomicOperands;10
(in;FunctionWords;1
subsection;LegalReferences;15
Council);EconomicOperands;1
provide;EconomicOperands;6
make;FunctionWords;5
available;EconomicOperands;5
those;FunctionWords;1
information;EconomicOperands;24
Treatment;EconomicOperands;2
provides;EconomicOperands;5
deemed;RegulatoryOperators;2
Required;RegulatoryOperators;1
required;RegulatoryOperators;9
inspection;EconomicOperands;1
include;EconomicOperands;3
each;FunctionWords;3
use;EconomicOperands;1
including;EconomicOperands;4
off-balance-sheet;EconomicOperands;1
exposure;EconomicOperands;1
positions;EconomicOperands;3
valuation;EconomicOperands;1
policies;EconomicOperands;1
practices;EconomicOperands;2
types;EconomicOperands;1
held;EconomicOperands;1
arrangements;EconomicOperands;2
certain;FunctionWords;3
obtain;EconomicOperands;1
rights;EconomicOperands;1
other;FunctionWords;11
consultation;EconomicOperands;2
determines;RegulatoryOperators;4
requirements;EconomicOperands;6
on;FunctionWords;22
size;EconomicOperands;2
An;FunctionWords;3
periods;EconomicOperands;1
prescribe;RegulatoryOperators;5
Filing;Other;1
issue;EconomicOperands;2
rules;EconomicOperands;7
deems;RegulatoryOperators;1
Examination;EconomicOperands;1
Periodic;Attributes;1
conduct;EconomicOperands;6
periodic;Attributes;1
inspections;EconomicOperands;1
time;EconomicOperands;8
Availability;EconomicOperands;1
without;FunctionWords;2
undue;Attributes;1
expense;EconomicOperands;1
request;EconomicOperands;2
Information;EconomicOperands;1
provided;EconomicOperands;3
Confidentiality;EconomicOperands;1
confidentiality;EconomicOperands;7
paragraph;LegalReferences;3
manner;Other;2
consistent;Attributes;3
(8);LegalReferences;2
exempt;RegulatoryOperators;2
552;LegalReferences;2
5;LegalReferences;2
report;EconomicOperands;13
made;FunctionWords;2
Notwithstanding;LogicalConnectors;1
law;EconomicOperands;1
except;FunctionWords;5
nothing;FunctionWords;1
Congress;EconomicOperands;3
upon;FunctionWords;1
prevent;RegulatoryOperators;1
Federal;EconomicOperands;5
agency;EconomicOperands;5
organization;EconomicOperands;5
within;FunctionWords;1
scope;EconomicOperands;1
jurisdiction;EconomicOperands;1
order;EconomicOperands;3
court;EconomicOperands;1
