access;EconomicOperands;6
to;FunctionWords;75
institutions;EconomicOperands;15
title;LegalReferences;13
may;FunctionWords;12
be;FunctionWords;11
cited;Other;1
as;FunctionWords;10
the;FunctionWords;56
Access;EconomicOperands;1
2010;LegalReferences;1
Purpose;EconomicOperands;1
purpose;EconomicOperands;1
of;FunctionWords;41
this;FunctionWords;1
is;FunctionWords;9
for;FunctionWords;12
products;EconomicOperands;4
and;LogicalConnectors;51
services;EconomicOperands;7
that;FunctionWords;9
are;FunctionWords;10
appropriate;Attributes;5
who;FunctionWords;2
not;FunctionWords;3
incorporated;EconomicOperands;1
into;FunctionWords;1
financial;EconomicOperands;6
Definitions;EconomicOperands;2
following;FunctionWords;2
definitions;EconomicOperands;1
shall;FunctionWords;9
apply;RegulatoryOperators;1
Account;EconomicOperands;2
The;FunctionWords;11
term;Other;9
account;EconomicOperands;4
means;Other;5
an;FunctionWords;11
between;FunctionWords;5
entity;EconomicOperands;9
under;FunctionWords;20
which;FunctionWords;2
obtains;EconomicOperands;1
from;FunctionWords;4
or;LogicalConnectors;34
through;FunctionWords;1
1;FunctionWords;5
more;FunctionWords;5
banking;EconomicOperands;1
includes;EconomicOperands;1
a;FunctionWords;30
deposit;EconomicOperands;1
savings;FunctionWords;2
(including;EconomicOperands;1
market;EconomicOperands;1
account);EconomicOperands;1
loan;EconomicOperands;6
other;FunctionWords;6
Secretary;EconomicOperands;15
deems;RegulatoryOperators;1
institution;EconomicOperands;17
has;FunctionWords;3
same;FunctionWords;2
meaning;Other;2
in;FunctionWords;20
section;LegalReferences;11
Community;EconomicOperands;2
Development;EconomicOperands;2
Banking;EconomicOperands;2
4702(5));LegalReferences;1
described;Other;2
501(c)(3);LegalReferences;1
exempt;RegulatoryOperators;1
tax;EconomicOperands;1
501(a);LegalReferences;1
such;FunctionWords;22
State;EconomicOperands;1
local;EconomicOperands;1
government;EconomicOperands;1
partnership;EconomicOperands;7
joint;EconomicOperands;1
entities;EconomicOperands;5
(D);LegalReferences;1
with;FunctionWords;6
regulations;EconomicOperands;4
prescribed;RegulatoryOperators;4
by;FunctionWords;14
any;FunctionWords;13
(as;FunctionWords;2
defined;EconomicOperands;3
3;LegalReferences;1
1813));LegalReferences;1
union;EconomicOperands;1
101;LegalReferences;1
1752));LegalReferences;1
general;FunctionWords;5
authorized;RegulatoryOperators;8
establish;RegulatoryOperators;8
agency;EconomicOperands;2
similar;FunctionWords;2
contracts;EconomicOperands;2
one;FunctionWords;1
accounts;EconomicOperands;4
needs;EconomicOperands;1
provision;EconomicOperands;2
on;FunctionWords;5
reasonable;Attributes;3
terms;Other;2
activities;EconomicOperands;3
restrict;RegulatoryOperators;1
(a);LegalReferences;3
several;FunctionWords;1
provide;EconomicOperands;6
including;EconomicOperands;2
value;EconomicOperands;1
loans;EconomicOperands;7
conducting;EconomicOperands;1
transactions;EconomicOperands;1
consumers;EconomicOperands;6
will;FunctionWords;1
Terms;Other;1
conditions;EconomicOperands;2
Loans;EconomicOperands;1
made;FunctionWords;3
lending;EconomicOperands;2
practices;EconomicOperands;1
literacy;EconomicOperands;3
opportunities;EconomicOperands;3
Each;FunctionWords;1
take;FunctionWords;1
ensure;RegulatoryOperators;1
each;FunctionWords;3
consumer;EconomicOperands;2
provided;EconomicOperands;3
Authority;EconomicOperands;1
As;FunctionWords;1
part;FunctionWords;1
measures;EconomicOperands;1
obtain;EconomicOperands;2
funds;EconomicOperands;5
seq);LegalReferences;1
amended;Other;1
adding;Other;1
at;FunctionWords;1
end;Other;1
class;EconomicOperands;2
Purposes;EconomicOperands;1
purposes;EconomicOperands;3
make;FunctionWords;3
available;EconomicOperands;3
Fund;EconomicOperands;5
operating;EconomicOperands;1
programs;EconomicOperands;3
amounts;EconomicOperands;5
necessary;Attributes;3
their;FunctionWords;1
loss;EconomicOperands;1
mitigate;RegulatoryOperators;1
some;FunctionWords;1
losses;EconomicOperands;1
would;FunctionWords;1
cost;EconomicOperands;1
fund;EconomicOperands;4
investment;EconomicOperands;1
program;EconomicOperands;5
requirement;EconomicOperands;1
A;FunctionWords;1
(1);LegalReferences;2
amount;EconomicOperands;4
percent;Attributes;1
Use;EconomicOperands;1
Any;FunctionWords;2
among;FunctionWords;3
used;EconomicOperands;3
direct;Attributes;1
all;FunctionWords;1
agent;EconomicOperands;2
paragraph;LegalReferences;1
technology;EconomicOperands;1
costs;EconomicOperands;1
For;FunctionWords;1
basis;EconomicOperands;1
given;FunctionWords;1
603(p);LegalReferences;1
Act;LegalReferences;1
must;FunctionWords;1
have;FunctionWords;1
no;FunctionWords;1
report;EconomicOperands;2
payments;EconomicOperands;1
regarding;LogicalConnectors;1
least;LogicalConnectors;1
reporting;EconomicOperands;1
agencies;EconomicOperands;1
requirements;EconomicOperands;1
provisions;EconomicOperands;2
submit;EconomicOperands;2
application;EconomicOperands;1
information;EconomicOperands;1
require;RegulatoryOperators;1
There;FunctionWords;2
both;FunctionWords;1
remain;EconomicOperands;1
until;FunctionWords;1
year;EconomicOperands;3
operation;EconomicOperands;1
Regulations;EconomicOperands;2
promulgate;EconomicOperands;1
Regulatory;EconomicOperands;1
authority;EconomicOperands;1
classifications;EconomicOperands;1
adjustments;EconomicOperands;1
exceptions;RegulatoryOperators;1
prevent;RegulatoryOperators;1
evasion;EconomicOperands;1
compliance;EconomicOperands;1
reports;EconomicOperands;1
Congress;EconomicOperands;1
out;FunctionWords;1
Affairs;EconomicOperands;1
Senate;EconomicOperands;1
Services;EconomicOperands;1
Representatives;EconomicOperands;1
results;EconomicOperands;1
